INT	STRING	STRING
DataId	FileName	Dyname
0	murenzhen01.unr	unr_01	
1	500cm_x_200cm.unr	unr_01	
2	700cm_x_100cm.unr	unr_01	
3	1200cm_x_100cm.unr	unr_01	
4	600cm_x_100cm.unr	unr_01	
5	900cm_x_300cm.unr	unr_01	
6	1500cm_x_300cm.unr	unr_01	
7	800cm_x_300cm.unr	unr_01	
8	800cm_x_200cm.unr	unr_01	
9	1000cm_x_200cm.unr	unr_01	
10	1400cm_x_200cm.unr	unr_01	
11	2000cm_x_200cm.unr	unr_01	
12	3000cm_x_200cm.unr	unr_01	
13	3400cm_x_200cm.unr	unr_01	
14	1200cm_x_200cm.unr	unr_01	
15	4500cm_x_200cm.unr	unr_01	
16	300cm_x_200cm.unr	unr_01	
17	1600cm_x_200cm.unr	unr_01	
18	400cm_x_200cm.unr	unr_01	
19	800cm_x_500cm.unr	unr_01	
20	1000cm_x_500cm.unr	unr_01	
