INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	增加HP的上限	百分比增加HP的上限	加快HP的回复速度	增加MP的上限	百分比增加MP的上限	加快MP的回复速度	冰攻击	冰抵抗	减少冰冻迟缓时间	火攻击	火抵抗	减少火烧持续时间	电攻击	电抵抗	减少电击眩晕时间	毒攻击	毒抵抗	减少中毒时间	按百分比抵消所有属性攻击	物理攻击	按百分比增加物理攻击	对装备基础物理攻击百分比加成	物理防御	按百分比增加物理防御	对装备基础物理防御百分比加成	按百分比抵消物理伤害	魔法攻击	按百分比增加魔法攻击	对装备基础魔法攻击百分比加成	魔法防御	按百分比增加魔法防御	对装备基础魔法防御百分比加成	按百分比抵消魔法伤害	攻击速度(两次攻击间隔时间)	魔法冷却速度	命中	闪避	会心一击（双倍攻击）的百分比	无视对方防御比率	移动速度百分比	伤害反射	伤害由内力抵消	力量	灵气	体质	定力	身法	会心防御	增加所有的人物一级属性	生命偷取	内力偷取	增加某个技能等级	增加所有技能等级	特殊技能发动概率	降低目标冰抵抗	降低目标火抵抗	降低目标玄抵抗	降低目标毒抵抗	保留1	保留2	保留3	保留4	保留5	保留6
1	87	50	-1	0	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	39	50	100	38	50	100	1	39	50	100	38	50	100	1	-1	-1	17	8	2	-1	-1	-1	-1	3	3	3	3	3	2	1	-1	-1	-1	-1	-1	1	1	1	1	
2	116	50	-1	0	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	48	50	100	48	50	100	1	48	50	100	48	50	100	1	0	-1	20	9	2	-1	-1	-1	-1	4	4	4	4	4	2	1	-1	-1	-1	-1	-1	1	1	1	1	
3	144	50	-1	0	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	58	50	100	58	50	100	1	58	50	100	58	50	100	1	1	-1	22	10	2	-1	-1	-1	-1	4	4	4	4	4	2	1	-1	-1	-1	-1	-1	1	1	1	1	
4	173	50	-1	0	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	68	50	100	67	50	100	1	68	50	100	67	50	100	1	2	-1	25	12	2	-1	-1	-1	-1	5	5	5	5	5	2	1	-1	-1	-1	-1	-1	1	1	1	1	
5	201	50	-1	0	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	78	50	100	77	50	100	1	78	50	100	77	50	100	1	3	-1	28	13	2	-1	-1	-1	-1	5	5	5	5	5	2	1	-1	-1	-1	-1	-1	1	1	1	1	
6	230	50	-1	0	50	-1	4	2	-1	4	2	-1	4	2	-1	4	2	-1	1	87	50	100	87	50	100	2	87	50	100	87	50	100	2	4	-1	30	14	2	-1	-1	-1	-1	5	5	5	5	5	2	1	-1	-1	-1	-1	-1	2	2	2	2	
7	258	50	-1	0	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	97	50	100	96	50	100	2	97	50	100	96	50	100	2	5	-1	33	15	2	-1	-1	-1	-1	6	6	6	6	6	2	2	-1	-1	-1	-1	-1	2	2	2	2	
8	287	50	-1	0	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	107	50	100	106	50	100	2	107	50	100	106	50	100	2	6	-1	35	16	2	-1	-1	-1	-1	6	6	6	6	6	2	2	-1	-1	-1	-1	-1	2	2	2	2	
9	315	50	-1	0	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	117	50	100	116	50	100	2	117	50	100	116	50	100	2	7	-1	38	17	2	-1	-1	-1	-1	7	7	7	7	7	2	2	-1	-1	-1	-1	-1	2	2	2	2	
10	344	50	-1	0	50	-1	5	2	-1	5	2	-1	5	2	-1	5	2	-1	2	127	50	100	125	50	100	2	127	50	100	125	50	100	2	8	-1	40	19	3	-1	-1	-1	-1	7	7	7	7	7	3	2	-1	-1	-1	-1	-1	2	2	2	2	
11	372	50	-1	0	50	-1	6	2	-1	6	2	-1	6	2	-1	6	2	-1	2	136	50	100	135	50	100	2	136	50	100	135	50	100	2	9	-1	43	20	3	-1	-1	-1	-1	7	7	7	7	7	3	2	-1	-1	-1	-1	-1	2	2	2	2	
12	401	50	-1	0	50	-1	6	2	-1	6	2	-1	6	2	-1	6	2	-1	2	146	50	100	145	50	100	2	146	50	100	145	50	100	2	10	-1	45	21	3	-1	-1	-1	-1	8	8	8	8	8	3	2	-1	-1	-1	-1	-1	2	2	2	2	
13	429	50	-1	0	50	-1	6	2	-1	6	2	-1	6	2	-1	6	2	-1	2	156	50	100	154	50	100	2	156	50	100	154	50	100	2	11	-1	48	22	3	-1	-1	-1	-1	8	8	8	8	8	3	2	-1	-1	-1	-1	-1	2	2	2	2	
14	458	50	-1	0	50	-1	6	3	-1	6	3	-1	6	3	-1	6	3	-1	2	166	50	100	164	50	100	3	166	50	100	164	50	100	3	12	-1	50	23	3	-1	-1	-1	-1	9	9	9	9	9	3	2	-1	-1	-1	-1	-1	3	3	3	3	
15	486	50	-1	0	50	-1	6	3	-1	6	3	-1	6	3	-1	6	3	-1	2	175	50	100	174	50	100	3	175	50	100	174	50	100	3	13	-1	53	24	3	-1	-1	-1	-1	9	9	9	9	9	3	2	-1	-1	-1	-1	-1	3	3	3	3	
16	515	50	-1	0	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	185	50	100	183	50	100	3	185	50	100	183	50	100	3	14	-1	55	25	3	-1	-1	-1	-1	9	9	9	9	9	3	2	-1	-1	-1	-1	-1	3	3	3	3	
17	543	50	-1	0	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	195	50	100	193	50	100	3	195	50	100	193	50	100	3	15	-1	58	27	3	-1	-1	-1	-1	10	10	10	10	10	3	2	-1	-1	-1	-1	-1	3	3	3	3	
18	572	50	-1	0	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	205	50	100	203	50	100	3	205	50	100	203	50	100	3	16	-1	61	28	3	-1	-1	-1	-1	10	10	10	10	10	3	2	-1	-1	-1	-1	-1	3	3	3	3	
19	600	50	-1	0	50	-1	7	3	-1	7	3	-1	7	3	-1	7	3	-1	2	215	50	100	212	50	100	3	215	50	100	212	50	100	3	17	-1	63	29	3	-1	-1	-1	-1	11	11	11	11	11	3	3	-1	-1	-1	-1	-1	3	3	3	3	
20	629	50	-1	0	50	-1	8	3	-1	8	3	-1	8	3	-1	8	3	-1	2	224	50	100	222	50	100	3	224	50	100	222	50	100	3	18	-1	66	30	4	-1	-1	-1	-1	11	11	11	11	11	4	3	-1	-1	-1	-1	-1	3	3	3	3	
21	657	50	-1	0	50	-1	8	3	-1	8	3	-1	8	3	-1	8	3	-1	2	234	50	100	232	50	100	3	234	50	100	232	50	100	3	19	-1	68	31	4	-1	-1	-1	-1	11	11	11	11	11	4	3	-1	-1	-1	-1	-1	3	3	3	3	
